player_id,name,salary,season,season_end,team,career_PTS,career_AST,career_TRB,career_WS,career_PER
abdursh01,Shareef Abdur-Rahim,6600000,2009-10,2010,Sacramento Kings,18.1,2.5,7.5,71.2,19.0
abrinal01,Alex Abrines,5994764,2016-17,2017,Oklahoma City Thunder,5.3,0.5,1.4,5.0,8.8
abrinal01,Alex Abrines,5725000,2017-18,2018,Oklahoma City Thunder,5.3,0.5,1.4,5.0,8.8
ackeral01,Alex Acker,711517,2008-09,2009,Los Angeles Clippers,2.7,0.5,1.0,-0.2,8.5
acyqu01,Quincy Acy,665000,2012-13,2013,Toronto Raptors,4.9,0.6,3.5,8.7,11.2
acyqu01,Quincy Acy,788872,2013-14,2014,Toronto Raptors,4.9,0.6,3.5,8.7,11.2
acyqu01,Quincy Acy,915243,2014-15,2015,New York Knicks,4.9,0.6,3.5,8.7,11.2
acyqu01,Quincy Acy,981348,2015-16,2016,Sacramento Kings,4.9,0.6,3.5,8.7,11.2
acyqu01,Quincy Acy,1914544,2016-17,2017,Brooklyn Nets,4.9,0.6,3.5,8.7,11.2
acyqu01,Quincy Acy,1050961,2016-17,2017,Dallas Mavericks,4.9,0.6,3.5,8.7,11.2
acyqu01,Quincy Acy,1709538,2017-18,2018,Brooklyn Nets,4.9,0.6,3.5,8.7,11.2
adamsha01,Hassan Adams,297163,2008-09,2009,Los Angeles Clippers,2.5,0.2,1.2,0.8,11.8
adamsjo01,Jordan Adams,1344120,2014-15,2015,Memphis Grizzlies,3.2,0.6,0.9,0.4,13.1
adamsjo01,Jordan Adams,1404600,2015-16,2016,Memphis Grizzlies,3.2,0.6,0.9,0.4,13.1
adamsjo01,Jordan Adams,1465080,2016-17,2017,Memphis Grizzlies,3.2,0.6,0.9,0.4,13.1
adamsst01,Steven Adams,2090880,2013-14,2014,Oklahoma City Thunder,9.7,1.0,7.4,38.7,16.7
adamsst01,Steven Adams,2184960,2014-15,2015,Oklahoma City Thunder,9.7,1.0,7.4,38.7,16.7
adamsst01,Steven Adams,2279040,2015-16,2016,Oklahoma City Thunder,9.7,1.0,7.4,38.7,16.7
adamsst01,Steven Adams,3140517,2016-17,2017,Oklahoma City Thunder,9.7,1.0,7.4,38.7,16.7
adamsst01,Steven Adams,22471910,2017-18,2018,Oklahoma City Thunder,9.7,1.0,7.4,38.7,16.7
adebaba01,Bam Adebayo,2490360,2017-18,2018,Miami Heat,8.0,1.9,6.5,11.0,17.0
adrieje01,Jeff Adrien,342666,2010-11,2011,Golden State Warriors,4.6,0.7,4.3,4.4,15.0
adrieje01,Jeff Adrien,270427,2011-12,2012,Houston Rockets,4.6,0.7,4.3,4.4,15.0
adrieje01,Jeff Adrien,804131,2012-13,2013,Charlotte Bobcats,4.6,0.7,4.3,4.4,15.0
adrieje01,Jeff Adrien,916099,2013-14,2014,Charlotte Bobcats,4.6,0.7,4.3,4.4,15.0
adrieje01,Jeff Adrien,981084,2014-15,2015,Houston Rockets,4.6,0.7,4.3,4.4,15.0
afflaar01,Arron Afflalo,1015440,2008-09,2009,Detroit Pistons,10.8,1.8,2.9,33.5,11.9
afflaar01,Arron Afflalo,1086240,2009-10,2010,Denver Nuggets,10.8,1.8,2.9,33.5,11.9
afflaar01,Arron Afflalo,1959577,2010-11,2011,Denver Nuggets,10.8,1.8,2.9,33.5,11.9
afflaar01,Arron Afflalo,7562500,2011-12,2012,Denver Nuggets,10.8,1.8,2.9,33.5,11.9
afflaar01,Arron Afflalo,7750000,2012-13,2013,Orlando Magic,10.8,1.8,2.9,33.5,11.9
afflaar01,Arron Afflalo,7312500,2013-14,2014,Orlando Magic,10.8,1.8,2.9,33.5,11.9
afflaar01,Arron Afflalo,7750000,2014-15,2015,Portland Trail Blazers,10.8,1.8,2.9,33.5,11.9
