player_id,name,team,season,season_end,salary,career_PTS,career_AST,career_TRB,career_WS,career_PER,log_salary,log_pred_salary,pred_salary,ValueScore
cartevi01,Vince Carter,Dallas Mavericks,2011-12,2012,3000000,17.2,3.2,4.4,125.5,18.8,14.914122846632385,15.863954579286704,7755823.8162554465,4755823.8162554465
roybr01,Brandon Roy,Minnesota Timberwolves,2012-13,2013,5100000,18.8,4.7,4.3,37.4,20.0,15.444751097694555,16.062533576967574,9459533.02751372,4359533.02751372
monrogr01,Greg Monroe,Boston Celtics,2017-18,2018,5000000,13.2,2.1,8.3,49.7,20.1,15.424948470398375,16.04328254611461,9279168.932963848,4279168.932963848
leeda02,David Lee,Dallas Mavericks,2015-16,2016,2102224,13.5,2.2,8.8,76.0,19.1,14.558506389917392,15.666862779782432,6368425.226418777,4266201.226418777
wadedw01,Dwyane Wade,Miami Heat,2017-18,2018,1471382,22.0,5.4,4.7,120.7,23.5,14.201712653158227,15.537659755517437,5596543.626040289,4125161.626040289
boozeca01,Carlos Boozer,Los Angeles Lakers,2014-15,2015,3250000,16.2,2.2,9.5,80.3,19.5,14.994165554305921,15.809450751023777,7344415.239598862,4094415.239598862
brandel01,Elton Brand,Dallas Mavericks,2012-13,2013,2100500,15.9,2.1,8.5,109.6,20.5,14.557685969591574,15.614841362732731,6045600.423458529,3945100.4234585287
davisba01,Baron Davis,New York Knicks,2011-12,2012,1352181,16.1,7.2,3.8,63.1,17.8,14.117229402364135,15.444238441478067,5097386.1233632155,3745205.1233632155
smithjo03,Josh Smith,Houston Rockets,2014-15,2015,2077000,14.5,3.1,7.4,51.0,17.4,14.546435102858249,15.574676216795305,5807589.8611218855,3730589.8611218855
francst01,Steve Francis,Memphis Grizzlies,2008-09,2009,2636550,18.1,6.0,5.6,54.1,18.3,14.784981802309154,15.655835300044082,6298583.344001408,3662033.3440014077
billuch01,Chauncey Billups,Los Angeles Clippers,2011-12,2012,2000032,15.2,5.4,2.9,120.8,18.8,14.50867373839622,15.548065850480498,5655085.860223535,3655053.8602235354
johnsjo02,Joe Johnson,Miami Heat,2015-16,2016,414481,16.0,3.9,4.0,82.8,15.4,12.934782414147408,15.199636005836098,3991333.748578795,3576852.748578795
lewisra02,Rashard Lewis,Miami Heat,2012-13,2013,1352181,14.9,1.7,5.2,90.9,16.8,14.117229402364135,15.360268347614864,4686836.289277036,3334655.2892770357
